2026-08-25T06:14:58.166657467 INFO main Main:105 Starting PCGen v6.09.08.RC1
2026-08-25T06:15:01.572592652 INFO main LanguageBundle:134 Initialising language bundle with locale en.
2026-08-25T06:16:11.327654081 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (235): PObject Special Ability ~ Corrosive ~ Weapon not found; .MOD skipped.
2026-08-25T06:16:11.333038389 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (236): PObject Special Ability ~ Corrosive Burst ~ Weapon not found; .MOD skipped.
2026-08-25T06:16:11.334058332 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (243): PObject Special Ability ~ Dueling ~ Melee not found; .MOD skipped.
2026-08-25T06:16:11.344802317 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (247): PObject Special Ability ~ Furious ~ Melee not found; .MOD skipped.
2026-08-25T06:16:11.355349878 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (249): PObject Special Ability ~ Grayflame ~ Weapon not found; .MOD skipped.
2026-08-25T06:16:11.356342869 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (251): PObject Special Ability ~ Huntsman ~ Weapon not found; .MOD skipped.
2026-08-25T06:16:11.376431927 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (253): PObject Special Ability ~ Jurist ~ Weapon not found; .MOD skipped.
2026-08-25T06:16:11.377792934 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (256): PObject Special Ability ~ Menacing ~ Melee not found; .MOD skipped.
2026-08-25T06:16:11.378896937 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (266): PObject Special Ability ~ Transformative ~ Melee not found; .MOD skipped.
2026-08-25T06:16:13.022796426 LSTERROR main LstUtils:145 Could not get Reference Manufacturer for Category: Inquisitor Class Feature (Source: file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_magic_items.lst )
2026-08-25T06:16:13.027310173 LSTERROR main LstUtils:145 Failed in parsing typeStr: ABILITY Inquisitor Class Feature|AUTOMATIC|Inquisitor ~ Greater Bane|PREVARGTEQ:InquisitorBanePool,12 for pcgen.core.Equipment Bane Baldric
2026-08-25T06:16:13.031137572 LSTERROR main LstUtils:145 Illegal Token 'ABILITY' 'Inquisitor Class Feature|AUTOMATIC|Inquisitor ~ Greater Bane|PREVARGTEQ:InquisitorBanePool,12' for pcgen.core.Equipment Bane Baldric in file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_magic_items.lst
2026-08-25T06:16:17.291977416 SEVERE main LstObjectFileLoader:491 PObject Battle Aspergillum not found; .COPY skipped.
2026-08-25T06:16:17.325236169 SEVERE main LstObjectFileLoader:491 PObject Traveling Spellbook not found; .COPY skipped.
2026-08-25T06:16:20.182638416 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (26): PObject Quilted Cloth not found; .MOD skipped.
2026-08-25T06:16:20.203062409 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (32): PObject Wooden not found; .MOD skipped.
2026-08-25T06:16:20.219819189 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (35): PObject Armored Coat not found; .MOD skipped.
2026-08-25T06:16:20.221917940 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (41): PObject Agile Breastplate not found; .MOD skipped.
2026-08-25T06:16:20.239815274 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (52): PObject Agile Half-Plate not found; .MOD skipped.
2026-08-25T06:16:20.276837311 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (84): PObject Armor of Insults not found; .MOD skipped.
2026-08-25T06:16:20.278274821 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (85): PObject Boneless Leather not found; .MOD skipped.
2026-08-25T06:16:20.291869636 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (86): PObject Buccaneer's Breastplate not found; .MOD skipped.
2026-08-25T06:16:20.292987673 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (87): PObject Daystar Half-Plate not found; .MOD skipped.
2026-08-25T06:16:20.293835785 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (88): PObject Folding Plate not found; .MOD skipped.
2026-08-25T06:16:20.317205872 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (89): PObject Forsaken Banded Mail not found; .MOD skipped.
2026-08-25T06:16:20.318281775 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (90): PObject Giant Hide (Cloud) not found; .MOD skipped.
2026-08-25T06:16:20.319103763 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (91): PObject Giant Hide (Fire) not found; .MOD skipped.
2026-08-25T06:16:20.344068956 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (92): PObject Giant Hide (Frost) not found; .MOD skipped.
2026-08-25T06:16:20.345553110 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (93): PObject Giant Hide (Hill) not found; .MOD skipped.
2026-08-25T06:16:20.346386673 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (94): PObject Giant Hide (Ogre) not found; .MOD skipped.
2026-08-25T06:16:20.360538460 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (95): PObject Giant Hide (Stone) not found; .MOD skipped.
2026-08-25T06:16:20.361825739 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (96): PObject Giant Hide (storm) not found; .MOD skipped.
2026-08-25T06:16:20.362758174 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (97): PObject Giant Hide (Troll) not found; .MOD skipped.
2026-08-25T06:16:20.378921850 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (98): PObject Mistmail not found; .MOD skipped.
2026-08-25T06:16:20.379724872 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (99): PObject Murderer's Blackcloth not found; .MOD skipped.
2026-08-25T06:16:20.396515390 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (147): PObject The Shield of the Sun not found; .MOD skipped.
2026-08-25T06:16:20.397470287 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (148): PObject Battlement Shield not found; .MOD skipped.
2026-08-25T06:16:20.413460042 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (149): PObject Fortress Shield not found; .MOD skipped.
2026-08-25T06:16:20.457478849 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (264): PObject Arrow (Searing) not found; .MOD skipped.
2026-08-25T06:16:20.458444090 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (265): PObject Arrow (Sizzling) not found; .MOD skipped.
2026-08-25T06:16:20.470384574 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (272): PObject Bolt (Tangle) not found; .MOD skipped.
2026-08-25T06:16:20.483025910 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (279): PObject Bullet (Dustburst) not found; .MOD skipped.
2026-08-25T06:16:20.493249893 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (378): PObject Bec De Corbin not found; .MOD skipped.
2026-08-25T06:16:20.521220027 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (434): PObject Battle Aspergillum not found; .MOD skipped.
2026-08-25T06:16:20.526747241 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (435): PObject Brass Knuckles not found; .MOD skipped.
2026-08-25T06:16:20.537667128 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (436): PObject Cestus not found; .MOD skipped.
2026-08-25T06:16:20.538906427 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (437): PObject Bayonet not found; .MOD skipped.
2026-08-25T06:16:20.553111003 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (439): PObject Sword Cane not found; .MOD skipped.
2026-08-25T06:16:20.554155615 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (440): PObject Bardiche not found; .MOD skipped.
2026-08-25T06:16:20.554743094 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (441): PObject Bill not found; .MOD skipped.
2026-08-25T06:16:20.555493616 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (442): PObject Glaive-Guisarme not found; .MOD skipped.
2026-08-25T06:16:20.571622276 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equip_arms_armor.lst (443): PObject Falcata not found; .MOD skipped.
